id,quality of life metric
1,44.7
2,65.05
3,51.55
4,49.15
5,52.25
6,24.65
7,22.2
8,49.4
9,16.25
10,49.85
11,17.6
12,24.5
13,23.8
14,34.25
15,70.3
16,32.25
17,21.35
18,16.6
19,12.25
20,27.0
21,29.1
22,72.25
23,42.05
24,20.7
25,74.85
26,4.2
27,0.8
28,5.15
29,5.45
30,34.15
31,25.45
32,42.8
33,2.05
34,42.2
35,12.15
36,34.25
37,18.75
38,11.2
39,16.1
40,16.9
41,83.0
42,10.5
43,82.9
44,11.35
45,52.55
46,54.15
47,43.3
48,5.25
49,61.35
50,37.85
51,37.8
52,54.45
53,37.2
54,42.1
55,48.35
56,5.55
57,73.05
58,14.75
59,8.75
60,9.9
61,32.35
62,17.35
63,14.35
64,10.95
65,12.2
66,5.75
67,7.65
68,46.6
69,8.1
70,67.4
71,5.7
72,5.85
73,21.6
74,64.65
75,12.2
76,17.95
77,27.35
78,80.65
79,35.0
80,24.8
81,17.7
82,12.75
83,7.75
84,14.95
85,32.15
86,57.45
87,75.3
88,4.9
89,5.0
90,4.65
91,34.75
92,10.1
93,29.4
94,20.55
95,1.95
96,9.35
97,26.15
98,41.4
99,9.15
100,25.0
